"","CHEX","ATAC","DNase","FAIRE","GRO","SE","RepOrig","MethylLow","MethylMidLow","MethylMidHigh","MethylHigh","H3K4me3","H3K9ac","H2AFZ","H3K4me2","H3K27ac","H3K27me3","H3K36me3","H3K4me1","H3K9me3","H3K79me2","H3K9me1","POLR2B","POLR2AphosphoS2","POLR2A","POLR2G","POLR2AphosphoS5"
"CHEX",1,0.318556079189082,0.29153710310291,0.254026621119567,0.105915117437816,0.00943912935234911,0.134704806606041,0.11576850119034,0.0624705073411441,0.0575373680926674,0.0704326616181639,0.0799332656122813,0.165278714662415,0.156642293357398,0.137258133005457,0.101984847289085,0.113621283452874,0.111032112036632,0.170099416666159,0.0154463900690669,0.0846965911838182,0.0139108910891089,0.0529722798623989,0.0252989071153616,0.0604693202593792,0.0854723701708779,0.072461514538952
"ATAC",0.318556079189082,1,0.415722890165345,0.373731641148773,0.153902015008032,0.0164539467080525,0.151183860835951,0.173045481041273,0.0938537034424903,0.0849937061009854,0.100732654839806,0.144024180408996,0.278778091586219,0.259499800603885,0.245973117289634,0.184794889950135,0.141311748241168,0.133825414928207,0.286919382941651,0.0172446668141222,0.129665175403873,0.0218262498464562,0.0908694154128862,0.0406011802311286,0.108560827334545,0.146809665214573,0.133173447799155
"DNase",0.29153710310291,0.415722890165345,1,0.471776478605502,0.164920500995273,0.0194627408787537,0.16016375327247,0.205650317257352,0.115193577494245,0.102796476321591,0.118096367036196,0.175889757888418,0.327849550813697,0.333261903388252,0.321502701775452,0.230096457459233,0.157107136282751,0.139968859111069,0.35291824685924,0.0202187489217817,0.144382060247445,0.024332019653119,0.1054170861249,0.0450211036423323,0.1296952145013,0.168721648078038,0.156101708148624
"FAIRE",0.254026621119567,0.373731641148773,0.471776478605502,1,0.20391621129326,0.0243160760549774,0.160145634450561,0.190567935114611,0.113751775296053,0.107852851922958,0.134767767264974,0.194667406711639,0.359661183166841,0.356272885703656,0.344821560726914,0.26972300795218,0.130120609956963,0.184777107261047,0.36776323321757,0.0236092412084657,0.178124641340526,0.028523672042894,0.128356268284755,0.0564278330885153,0.154900341252418,0.20037121403864,0.18947027027027
"GRO",0.105915117437816,0.153902015008032,0.164920500995273,0.20391621129326,1,0.0554801906153257,0.0969480194926902,0.161151000473813,0.0849514563106796,0.0833353680869247,0.140478295147765,0.32421906693712,0.277190811857978,0.211874328420445,0.283218634197988,0.343418590143481,0.0149120190873844,0.349617584234824,0.246878731950928,0.0331121561553823,0.377530196900336,0.0450571841724727,0.338524057217165,0.168567026194145,0.322825024437928,0.378234831856489,0.322997779214573
"SE",0.00943912935234911,0.0164539467080525,0.0194627408787537,0.0243160760549774,0.0554801906153257,1,0.0135543881194424,0.0231226306025327,0.019614711033275,0.0212951840122311,0.0287565249813572,0.0693010234522007,0.041818791813858,0.0382422704007324,0.0537247853005792,0.0796368814524742,0.000487504490172936,0.0379464985730862,0.0406122254967202,0.0224916254586058,0.0676043956043956,0.0316125777703044,0.0908003938669292,0.0996492139794725,0.0919896000990467,0.0652771318648797,0.080975954738331
"RepOrig",0.134704806606041,0.151183860835951,0.16016375327247,0.160145634450561,0.0969480194926902,0.0135543881194424,1,0.124172448111235,0.0866797699118236,0.0824727030871839,0.0970643436382308,0.083064792595132,0.165909748518663,0.123882838903492,0.12140915486224,0.0982606519426891,0.120677407438979,0.0987925687272289,0.163956206175421,0.0169800544767595,0.0810788046224858,0.0250801853171775,0.0595818748684991,0.0323248713623844,0.0661835569723478,0.0987052011411787,0.0771772563494156
"MethylLow",0.11576850119034,0.173045481041273,0.205650317257352,0.190567935114611,0.161151000473813,0.0231226306025327,0.124172448111235,1,0.385630687530613,0.262105569288934,0.202472348731295,0.306468716861082,0.308513546349168,0.230811298165748,0.255102210265863,0.210704375261337,0.204473960153792,0.0829083918476402,0.345078701088533,0.0175721301411909,0.170258970612112,0.0360036711682182,0.188909157241883,0.0796645161290323,0.209268697404291,0.277621447112973,0.191239478892538
"MethylMidLow",0.0624705073411441,0.0938537034424903,0.115193577494245,0.113751775296053,0.0849514563106796,0.019614711033275,0.0866797699118236,0.385630687530613,1,0.503474498492199,0.324612471066844,0.186984445864913,0.209398011619488,0.14838675793491,0.159514607821542,0.116518279517722,0.131759203691824,0.0415830593860735,0.252053333333333,0.0185680058975304,0.0791590197560186,0.0408581644815256,0.0935277008795599,0.0488821358801823,0.105851522590062,0.179725363489499,0.0996620620145847
"MethylMidHigh",0.0575373680926674,0.0849937061009854,0.102796476321591,0.107852851922958,0.0833353680869247,0.0212951840122311,0.0824727030871839,0.262105569288934,0.503474498492199,1,0.498733651650405,0.15511745226084,0.203530577321445,0.134510604312716,0.142462413652987,0.10921868747499,0.0948722714412572,0.0497460345749421,0.239297752302673,0.0200169719962063,0.069540213841043,0.0447242951907131,0.0812799765679347,0.0513323983169705,0.0909216192937123,0.180715274850984,0.0886655602679943
