"","CHEX","ATAC","DNase","FAIRE","GRO","SE","RepOrig","MethylLow","MethylMidLow","MethylMidHigh","MethylHigh","H3K4me3","H3K9ac","H2AFZ","H3K4me2","H3K27ac","H3K27me3","H3K36me3","H3K4me1","H3K9me3","H3K79me2","H3K9me1","POLR2B","POLR2AphosphoS2","POLR2A","POLR2G","POLR2AphosphoS5"
"CHEX",1,0.995016611295681,0.996677740863787,0.995008319467554,0.978369384359401,0.495840266222962,0.980033277870216,0.993355481727575,0.991694352159468,0.983388704318937,0.975083056478405,0.983361064891847,0.978369384359401,0.985024958402662,0.981697171381032,0.985024958402662,0.945182724252492,0.956738768718802,0.983361064891847,0.89351081530782,0.968386023294509,0.803660565723794,0.968386023294509,0.861896838602329,0.973377703826955,0.980033277870216,0.970049916805324
"ATAC",0.995016611295681,1,0.998336106489185,0.996666666666667,0.98,0.496666666666667,0.981666666666667,0.998333333333333,0.996666666666667,0.988333333333333,0.98,0.985,0.98,0.986666666666667,0.983333333333333,0.986666666666667,0.95,0.958333333333333,0.985,0.895,0.97,0.805,0.97,0.863333333333333,0.975,0.981666666666667,0.971666666666667
"DNase",0.996677740863787,0.998336106489185,1,0.995008319467554,0.978369384359401,0.495840266222962,0.980033277870216,0.996672212978369,0.995008319467554,0.986688851913478,0.978369384359401,0.983361064891847,0.978369384359401,0.985024958402662,0.981697171381032,0.985024958402662,0.948419301164726,0.956738768718802,0.983361064891847,0.89351081530782,0.968386023294509,0.803660565723794,0.968386023294509,0.861896838602329,0.973377703826955,0.980033277870216,0.970049916805324
"FAIRE",0.995008319467554,0.996666666666667,0.995008319467554,1,0.979966611018364,0.498327759197324,0.98494983277592,0.998330550918197,0.996661101836394,0.988313856427379,0.979966611018364,0.984974958263773,0.979966611018364,0.986644407345576,0.98330550918197,0.986644407345576,0.94991652754591,0.961538461538462,0.984974958263773,0.894824707846411,0.969949916527546,0.807692307692308,0.969949916527546,0.866220735785953,0.974958263772955,0.981636060100167,0.974916387959866
"GRO",0.978369384359401,0.98,0.978369384359401,0.979966611018364,1,0.506802721088435,0.974832214765101,0.978333333333333,0.976666666666667,0.981543624161074,0.973154362416107,0.988195615514334,0.986486486486487,0.986531986531986,0.986509274873524,0.989881956155143,0.952782462057336,0.974533106960951,0.984848484848485,0.906779661016949,0.98641765704584,0.821428571428571,0.98641765704584,0.880952380952381,0.988135593220339,0.988175675675676,0.984745762711864
"SE",0.495840266222962,0.496666666666667,0.495840266222962,0.498327759197324,0.506802721088435,1,0.503389830508475,0.497495826377296,0.498327759197324,0.502529510961214,0.506802721088435,0.504230118443316,0.506802721088435,0.503378378378378,0.505084745762712,0.503378378378378,0.517482517482518,0.518260869565217,0.504230118443316,0.534926470588235,0.512027491408935,0.552683896620278,0.512027491408935,0.563218390804598,0.509401709401709,0.505942275042445,0.51114922813036
"RepOrig",0.980033277870216,0.981666666666667,0.980033277870216,0.98494983277592,0.974832214765101,0.503389830508475,1,0.98330550918197,0.981636060100167,0.976588628762542,0.971524288107203,0.976549413735343,0.968227424749164,0.974916387959866,0.971571906354515,0.974916387959866,0.944630872483222,0.956302521008403,0.973244147157191,0.895622895622896,0.964765100671141,0.813874788494078,0.961474036850921,0.866779089376054,0.966499162479062,0.969899665551839,0.969747899159664
"MethylLow",0.993355481727575,0.998333333333333,0.996672212978369,0.998330550918197,0.978333333333333,0.497495826377296,0.98330550918197,1,0.998330550918197,0.989983305509182,0.981636060100167,0.983333333333333,0.978333333333333,0.985,0.981666666666667,0.985,0.951585976627713,0.959933222036728,0.983333333333333,0.893333333333333,0.968333333333333,0.806343906510851,0.968333333333333,0.864774624373957,0.973333333333333,0.98,0.973288814691152
"MethylMidLow",0.991694352159468,0.996666666666667,0.995008319467554,0.996661101836394,0.976666666666667,0.498327759197324,0.981636060100167,0.998330550918197,1,0.991638795986622,0.983277591973244,0.981666666666667,0.976666666666667,0.983333333333333,0.98,0.983333333333333,0.953177257525084,0.958263772954925,0.981666666666667,0.891666666666667,0.966666666666667,0.807692307692308,0.966666666666667,0.866220735785953,0.971666666666667,0.978333333333333,0.971619365609349
"MethylMidHigh",0.983388704318937,0.988333333333333,0.986688851913478,0.988313856427379,0.981543624161074,0.502529510961214,0.976588628762542,0.989983305509182,0.991638795986622,1,0.991568296795953,0.976627712854758,0.981543624161074,0.984924623115578,0.981574539363484,0.984924623115578,0.961214165261383,0.963025210084034,0.983249581239531,0.892797319932998,0.971476510067114,0.814502529510961,0.971476510067114,0.873524451939292,0.97319932998325,0.983221476510067,0.976470588235294
