"","K562","HumanAstroCulture","HumanNeuronCulture","HumanInterneuronCulture"
"HumanBrainATACNarrowPeaks_CerebellumMaleAdult20years",0,0,0,0
"HumanBrainDNaseNarrowPeaks_CerebellumAstrocyte",0,0,0,0
"HumanBrainDNaseNarrowPeaks_HippocampusAstrocyte",0,0,0,0
"HumanBrainDNaseNarrowPeaks_MicrovascularEndothelialCell",0,0,0,0
"HumanBrainDNaseNarrowPeaks_ChoroidPlexusEpithelialCell",0,2.47613799727252e-275,0,0
"HumanBrainDNaseNarrowPeaks_Pericyte",0,0,0,0
"HumanBrainFAIRENarrowPeaks_Astrocyte",0,0,0,0
"HumanNonBDNAPeaks_Inverted",0,0,0,0
"HumanNonBDNAPeaks_Direct",0,0,0,0
"HumanNonBDNAPeaks_GQuadruplexForming",0,0,0,0
"HumanNonBDNAPeaks_Mirror",0,0,0,0
"HumanNonBDNAPeaks_ZDNAMotifs",0,0,0,0
"HumanNonBDNAPeaks_ShortTandem",0,0,0,0
"HumanNonBDNAPeaks_APhased",0,0,0,0
