"","MouseAstroCulture","MouseNeuronCulture","MouseNeuronSlice","MouseInterneuronSlice"
"MouseBrainATACNarrowPeaks_CerebellumAdult",0,0,0,0
"MouseBrainATACNarrowPeaks_ForebrainEmbryo11.5days",0,0,0,0
"MouseBrainATACNarrowPeaks_ForebrainEmbryo12.5days",0,0,0,0
"MouseBrainATACNarrowPeaks_ForebrainEmbryo13.5days",0,0,0,0
"MouseBrainATACNarrowPeaks_ForebrainEmbryo14.5days",0,0,0,0
"MouseBrainATACNarrowPeaks_ForebrainEmbryo15.5days",0,0,0,0
"MouseBrainATACNarrowPeaks_ForebrainEmbryo16.5days",0,0,0,0
"MouseBrainATACNarrowPeaks_ForebrainPostnatal0days",0,0,0,0
"MouseBrainATACNarrowPeaks_FrontalCortexAdult",0,2.71636790512121e-302,0,0
"MouseBrainATACNarrowPeaks_HindbrainEmbryo11.5days",0,0,0,0
"MouseBrainATACNarrowPeaks_HindbrainEmbryo12.5days",0,0,0,0
"MouseBrainATACNarrowPeaks_HindbrainEmbryo13.5days",0,0,0,0
"MouseBrainATACNarrowPeaks_HindbrainEmbryo16.5days",0,0,0,0
"MouseBrainATACNarrowPeaks_HindbrainPostnatal0days",0,0,0,0
"MouseBrainATACNarrowPeaks_MidbrainEmbryo11.5days",0,0,0,0
"MouseBrainATACNarrowPeaks_MidbrainEmbryo13.5days",0,0,0,0
"MouseBrainATACNarrowPeaks_MidbrainEmbryo15.5days",0,0,0,0
"MouseBrainATACNarrowPeaks_MidbrainEmbryo16.5days",0,0,0,0
"MouseBrainDNaseNarrowPeaks_BrainMaleAdult8weeks",0,0.170376256628866,0,0
"MouseBrainDNaseNarrowPeaks_BrainMaleEmbryo14.5days",0,1.36502332270751e-135,0,0
"MouseBrainDNaseNarrowPeaks_BrainMaleEmbryo18.5days",0,0,0,0
"MouseBrainDNaseNarrowPeaks_CerebellumMaleAdult8weeks",0,0,0,0
"MouseBrainDNaseNarrowPeaks_ForeBrainEmbryo 10.50days",0,0,0,0
"MouseBrainDNaseNarrowPeaks_ForeBrainEmbryo11.5days",0,0,0,0
"MouseBrainDNaseNarrowPeaks_ForeBrainEmbryo14.5days",0,0,0,0
"MouseBrainDNaseNarrowPeaks_ForebrainPostnatal0days",0,0,0,0
"MouseBrainDNaseNarrowPeaks_HindBrainEmbryo10.50days",0,0,0,0
"MouseBrainDNaseNarrowPeaks_HindBrainEmbryo11.5days",0,0,0,0
"MouseBrainDNaseNarrowPeaks_HindBrainEmbryo14.5days",0,0,0,0
"MouseBrainDNaseNarrowPeaks_HindBrainPostnatal0days",0,0,0,0
"MouseBrainDNaseNarrowPeaks_MidBrainEmbryo10.5days",0,0,0,0
"MouseBrainDNaseNarrowPeaks_MidBrainEmbryo11.5days",0,0,0,0
"MouseBrainDNaseNarrowPeaks_MidBrainEmbryo14.5days",0,0,0,0
"MouseBrainDNaseNarrowPeaks_MidBrainPostnatal0days",0,0,0,0
"MouseBrainDNaseNarrowPeaks_TelencephalonMaleAdult8weeks",0,0,0,0
"MouseBrainChIPTFs_Cerebellum_POLR2A",0,0,0,0
"MouseBrainChIPTFs_Cerebellum_CTCF",0,1.07533311849765e-156,0,0
"MouseBrainChIPTFs_CorticalPlate_POLR2A",0,0,0,0
"MouseBrainChIPTFs_CorticalPlate_CTCF",3.14689169631401e-236,2.20702625264113e-59,0,0
"MouseBrainChIPTFs_ForeBrain_CTCF",0,0,0,0
"MouseBrainChIPTFs_HindBrain_CTCF",0,0,0,0
"MouseBrainChIPTFs_MidBrain_CTCF",0,0,0,0
"MouseBrainChIPTFs_OlfactoryBulb_CTCF",0,0,0,0
"MouseBrainChIPTFs_OlfactoryBulb_POLR2A",0,0,0,0
"MouseBrainChIPNHMs_CerebellumMaleAdult8Weeks_H3K4me3",0,0,0,0
"MouseBrainChIPNHMs_CerebellumMaleAdult8Weeks_H3K27ac",0,0,0,0
"MouseBrainChIPNHMs_CorticalPlateMaleAdult8Weeks_H3K27ac",0,0,0,0
"MouseBrainChIPNHMs_CorticalPlateMaleAdult8Weeks_H3K4me3",0,0,0,0
"MouseBrainChIPNHMs_ForebrainEmbryo10.5days_H3K27ac",0,0,0,0
"MouseBrainChIPNHMs_ForebrainEmbryo10.5days_H3K4me3",0,0,0,0
"MouseBrainChIPNHMs_ForebrainEmbryo11.5days_H3K9ac",0,0,0,0
"MouseBrainChIPNHMs_ForebrainEmbryo11.5days_H3K27ac",0,0,0,0
"MouseBrainChIPNHMs_ForebrainEmbryo11.5days_H3K4me2",0,0,0,0
"MouseBrainChIPNHMs_ForebrainEmbryo11.5days_H3K4me3",0,0,0,0
"MouseBrainChIPNHMs_ForebrainEmbryo12.5days_H3K4me2",0,0,0,0
"MouseBrainChIPNHMs_ForebrainEmbryo12.5days_H3K4me3",0,0,0,0
"MouseBrainChIPNHMs_ForebrainEmbryo12.5days_H3K9ac",0,0,0,0
"MouseBrainChIPNHMs_ForebrainEmbryo12.5days_H3K27ac",0,0,0,0
"MouseBrainChIPNHMs_ForebrainEmbryo13.5days_H3K4me2",0,0,0,0
"MouseBrainChIPNHMs_ForebrainEmbryo13.5days_H3K27ac",0,0,0,0
"MouseBrainChIPNHMs_ForebrainEmbryo13.5days_H3K9ac",0,0,0,0
"MouseBrainChIPNHMs_ForebrainEmbryo13.5days_H3K4me3",0,0,0,0
"MouseBrainChIPNHMs_ForebrainEmbryo14.5days_H3K27ac",0,0,0,0
"MouseBrainChIPNHMs_ForebrainEmbryo14.5days_H3K4me3",0,0,0,0
"MouseBrainChIPNHMs_ForebrainEmbryo14.5days_H3K4me2",0,0,0,0
"MouseBrainChIPNHMs_ForebrainEmbryo14.5days_H3K9ac",0,0,0,0
"MouseBrainChIPNHMs_ForebrainEmbryo15.5days_H3K4me3",0,0,0,0
"MouseBrainChIPNHMs_ForebrainEmbryo15.5days_H3K4me2",0,0,0,0
"MouseBrainChIPNHMs_ForebrainEmbryo15.5days_H3K9ac",0,0,0,0
"MouseBrainChIPNHMs_ForebrainEmbryo15.5days_H3K27ac",0,0,0,0
"MouseBrainChIPNHMs_ForebrainEmbryo16.5days_H3K4me3",0,0,0,0
"MouseBrainChIPNHMs_ForebrainEmbryo16.5days_H3K4me2",0,0,0,0
"MouseBrainChIPNHMs_ForebrainEmbryo16.5days_H3K27ac",0,0,0,0
"MouseBrainChIPNHMs_ForebrainEmbryo16.5days_H3K9ac",0,0,0,0
"MouseBrainChIPNHMs_ForebrainPostnatal0days_H3K4me3",0,0,0,0
"MouseBrainChIPNHMs_ForebrainPostnatal0days_H3K4me2",0,0,0,0
"MouseBrainChIPNHMs_ForebrainPostnatal0days_H3K9ac",0,0,0,0
"MouseBrainChIPNHMs_ForebrainPostnatal0days_H3K27ac",0,0,0,0
"MouseBrainChIPNHMs_HindbrainEmbryo10.5days_H3K27ac",0,0,0,0
"MouseBrainChIPNHMs_HindbrainEmbryo10.5days_H3K4me3",0,0,0,0
"MouseBrainChIPNHMs_HindbrainEmbryo11.5days_H3K4me3",0,0,0,0
"MouseBrainChIPNHMs_HindbrainEmbryo11.5days_H3K9ac",0,0,0,0
"MouseBrainChIPNHMs_HindbrainEmbryo11.5days_H3K4me2",0,0,0,0
