"","File accession","File format","Output type","Experiment accession","Assay","Biosample term id","Biosample term name","Biosample type","Biosample organism","Biosample treatments","Biosample treatments amount","Biosample treatments duration","Experiment target","Library made from","Library depleted in","Library extraction method","Library lysis method","Library crosslinking method","Library strand specific","Experiment date released","Project","RBNS protein concentration","Library fragmentation method","Library size range","Biological replicate(s)","Technical replicate","Read length","Mapped read length","Run type","Paired end","Paired with","Derived from","Size","Lab","md5sum","dbxrefs","File download URL","Assembly","Platform","Controlled by","File Status","Restricted","Audit WARNING","Audit INTERNAL_ACTION","Audit NOT_COMPLIANT","Audit ERROR"
"8","ENCFF784IBU","bigBed narrowPeak","peaks","ENCSR000ENE","DNase-seq","CL:2000044","brain microvascular endothelial cell","primary cell","Homo sapiens",NA,NA,NA,NA,"DNA",NA,"see document","see document",NA,"False","2010-12-16","ENCODE",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,"ENCFF351ETM, ENCFF967OQF",1588687,"ENCODE Processing Pipeline","d23214e0f1c29f50f73352c4527a99b2",NA,"https://www.encodeproject.org/files/ENCFF784IBU/@@download/ENCFF784IBU.bigBed","GRCh38",NA,NA,"released",NA,"low read depth",NA,NA,NA
"9","ENCFF759QFD","bigBed broadPeak","hotspots","ENCSR000ENE","DNase-seq","CL:2000044","brain microvascular endothelial cell","primary cell","Homo sapiens",NA,NA,NA,NA,"DNA",NA,"see document","see document",NA,"False","2010-12-16","ENCODE",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,"ENCFF351ETM, ENCFF967OQF",3534038,"ENCODE Processing Pipeline","e10f99e4d88c6c4bf499d7519c45541f",NA,"https://www.encodeproject.org/files/ENCFF759QFD/@@download/ENCFF759QFD.bigBed","GRCh38",NA,NA,"released",NA,"low read depth",NA,NA,NA
"10","ENCFF165LHV","bigBed narrowPeak","peaks","ENCSR000ENE","DNase-seq","CL:2000044","brain microvascular endothelial cell","primary cell","Homo sapiens",NA,NA,NA,NA,"DNA",NA,"see document","see document",NA,"False","2010-12-16","ENCODE",NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,"ENCFF419OPC, ENCFF967OQF",1343879,"ENCODE Processing Pipeline","d90bad48e068f140475270084d991374",NA,"https://www.encodeproject.org/files/ENCFF165LHV/@@download/ENCFF165LHV.bigBed","GRCh38",NA,NA,"released",NA,"low read depth",NA,NA,NA
"11","ENCFF632XKL","bigBed broadPeak","hotspots","ENCSR000ENE","DNase-seq","CL:2000044","brain microvascular endothelial cell","primary cell","Homo sapiens",NA,NA,NA,NA,"DNA",NA,"see document","see document",NA,"False","2010-12-16","ENCODE",NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,"ENCFF419OPC, ENCFF967OQF",2318189,"ENCODE Processing Pipeline","dc2626ad5b242b837b2fcfc040491c53",NA,"https://www.encodeproject.org/files/ENCFF632XKL/@@download/ENCFF632XKL.bigBed","GRCh38",NA,NA,"released",NA,"low read depth",NA,NA,NA
"24","ENCFF025HHG","bigWig","read-depth normalized signal","ENCSR000ENE","DNase-seq","CL:2000044","brain microvascular endothelial cell","primary cell","Homo sapiens",NA,NA,NA,NA,"DNA",NA,"see document","see document",NA,"False","2010-12-16","ENCODE",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,"ENCFF351ETM",575018366,"ENCODE Processing Pipeline","5df1b47c9e56ddef94fd85c1f745f61f",NA,"https://www.encodeproject.org/files/ENCFF025HHG/@@download/ENCFF025HHG.bigWig","GRCh38",NA,NA,"released",NA,"low read depth",NA,NA,NA
"25","ENCFF754XUT","bigWig","read-depth normalized signal","ENCSR000ENE","DNase-seq","CL:2000044","brain microvascular endothelial cell","primary cell","Homo sapiens",NA,NA,NA,NA,"DNA",NA,"see document","see document",NA,"False","2010-12-16","ENCODE",NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,"ENCFF419OPC",583153186,"ENCODE Processing Pipeline","f7b56989761dc713d6931ecbadf55f4f",NA,"https://www.encodeproject.org/files/ENCFF754XUT/@@download/ENCFF754XUT.bigWig","GRCh38",NA,NA,"released",NA,"low read depth",NA,NA,NA
"47","ENCFF499UDS","bigWig","read-depth normalized signal","ENCSR000ENA","DNase-seq","CL:0002604","astrocyte of the hippocampus","primary cell","Homo sapiens",NA,NA,NA,NA,"DNA",NA,"see document","see document",NA,"False","2011-05-04","ENCODE",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,"ENCFF910KLI",773693411,"ENCODE Processing Pipeline","1e7da6a44f10d006b3bf0176e1b58e99",NA,"https://www.encodeproject.org/files/ENCFF499UDS/@@download/ENCFF499UDS.bigWig","GRCh38",NA,NA,"released",NA,"low spot score, low read depth",NA,NA,NA
"48","ENCFF766WQS","bigWig","read-depth normalized signal","ENCSR000ENA","DNase-seq","CL:0002604","astrocyte of the hippocampus","primary cell","Homo sapiens",NA,NA,NA,NA,"DNA",NA,"see document","see document",NA,"False","2011-05-04","ENCODE",NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,"ENCFF707XHV",591661213,"ENCODE Processing Pipeline","b191a727665d7606e2bec6aa745faf05",NA,"https://www.encodeproject.org/files/ENCFF766WQS/@@download/ENCFF766WQS.bigWig","GRCh38",NA,NA,"released",NA,"low spot score, low read depth",NA,NA,NA
"49","ENCFF790NWE","bigBed broadPeak","hotspots","ENCSR000ENA","DNase-seq","CL:0002604","astrocyte of the hippocampus","primary cell","Homo sapiens",NA,NA,NA,NA,"DNA",NA,"see document","see document",NA,"False","2011-05-04","ENCODE",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,"ENCFF910KLI, ENCFF967OQF",6563973,"ENCODE Processing Pipeline","2909cbc38e6282d05eb86936fc39f2a7",NA,"https://www.encodeproject.org/files/ENCFF790NWE/@@download/ENCFF790NWE.bigBed","GRCh38",NA,NA,"released",NA,"low spot score, low read depth",NA,NA,NA
"50","ENCFF587CZF","bigBed narrowPeak","peaks","ENCSR000ENA","DNase-seq","CL:0002604","astrocyte of the hippocampus","primary cell","Homo sapiens",NA,NA,NA,NA,"DNA",NA,"see document","see document",NA,"False","2011-05-04","ENCODE",NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,"ENCFF707XHV, ENCFF967OQF",867714,"ENCODE Processing Pipeline","04a4aecb477852701fe90655f7f79dea",NA,"https://www.encodeproject.org/files/ENCFF587CZF/@@download/ENCFF587CZF.bigBed","GRCh38",NA,NA,"released",NA,"low spot score, low read depth",NA,NA,NA
