"","SampleID","Target"
"1","ENCFF280PVF","HDAC3"
"2","ENCFF871WOL","SMARCE1"
"3","ENCFF857IEQ","ZNF280A"
"4","ENCFF251CKT","DNMT1"
"5","ENCFF471IPA","HDAC2"
"6","ENCFF358PCQ","NCOA1"
"7","ENCFF776XQD","PHB2"
"8","ENCFF994QPA","STAT5A"
"9","ENCFF330ZPJ","IKZF1"
"10","ENCFF827ENU","GATA2"
"11","ENCFF962GIJ","EGR1"
"12","ENCFF272TIX","TEAD4"
"13","ENCFF143HZX","ZZZ3"
"14","ENCFF169TUC","MIER1"
"15","ENCFF370EVX","NFE2"
"16","ENCFF100NWJ","ZNF407"
"17","ENCFF059EJM","TARDBP"
"18","ENCFF711WZW","ETS1"
"21","ENCFF245PFI","RNF2"
"22","ENCFF217XJC","3xFLAG-ATF1"
"24","ENCFF940AFO","CBX3"
"25","ENCFF737TIX","MCM7"
"26","ENCFF142YVY","CUX1"
"27","ENCFF462CSY","MEIS2"
"28","ENCFF808LSS","ARID1B"
"29","ENCFF616HUW","ZEB2"
"30","ENCFF043QUA","HDAC1"
"31","ENCFF939ODZ","GATA1"
"32","ENCFF776LMR","CHAMP1"
"33","ENCFF512GTM","CC2D1A"
"35","ENCFF787DQV","ETV6"
"36","ENCFF518BUB","SIN3A"
"37","ENCFF736VEI","USF2"
"38","ENCFF427YTW","REST"
"39","ENCFF648NTJ","3xFLAG-PBX2"
"40","ENCFF629EQZ","YY1"
"41","ENCFF416YED","MYNN"
"42","ENCFF976LFS","RFX1"
"43","ENCFF501YVJ","MNT"
"44","ENCFF159DOK","MCM2"
"45","ENCFF248CGR","RBM25"
"46","ENCFF016VHT","TAL1"
"47","ENCFF208ZBV","ZNF318"
"48","ENCFF097EAL","EP400"
"49","ENCFF955OIH","EWSR1"
"51","ENCFF067ULI","JUND"
"52","ENCFF241DCR","NFIC"
"54","ENCFF800EJL","UBTF"
"57","ENCFF334YXF","TRIM28"
"60","ENCFF024XJB","BMI1"
"61","ENCFF870QGL","SRSF3"
"62","ENCFF875ZJG","BCLAF1"
"63","ENCFF060DEI","BRCA1"
"64","ENCFF666EAQ","ZBTB7A"
"66","ENCFF051AVQ","ZNF274"
"67","ENCFF362HAC","POLR2B"
"68","ENCFF215QHG","CBX5"
"69","ENCFF145JVG","ZBTB5"
"70","ENCFF866FMO","CREM"
"71","ENCFF431HSM","ZNF24"
"72","ENCFF895HAG","CTCF"
"73","ENCFF965LQJ","ASH1L"
"74","ENCFF239VPV","E2F1"
"75","ENCFF759UHQ","NCOR1"
"76","ENCFF981VCQ","NCOA4"
"77","ENCFF739EZC","PCBP2"
"78","ENCFF866AII","JUN"
"81","ENCFF193HSB","MITF"
"82","ENCFF787DUB","ARHGAP35"
"85","ENCFF377OIN","ELF4"
"86","ENCFF435ALE","NFXL1"
