"","SampleID","Tissue","Target","BiosampleInfo"
"1","ENCFF597QLV","forebrain","H3K27me3","ForebrainEmbryo10.5days"
"2","ENCFF787SFY","olfactory bulb","H3K4me1","OlfactoryBulbMaleAdult8Weeks"
"3","ENCFF484RAH","midbrain","H3K36me3","MidbrainEmbryo10.5days"
"4","ENCFF042GKY","midbrain","H3K9me3","MidbrainEmbryo12.5days"
"5","ENCFF503YMC","midbrain","H3K36me3","MidbrainEmbryo16.5days"
"6","ENCFF800BPT","forebrain","H3K9me3","ForebrainEmbryo15.5days"
"7","ENCFF634TDI","hindbrain","H3K27me3","HindbrainPostnatal0days"
"8","ENCFF919SMC","midbrain","H3K4me1","MidbrainEmbryo10.5days"
"9","ENCFF570EEN","hindbrain","H3K4me1","HindbrainEmbryo10.5days"
"10","ENCFF517LVB","forebrain","H3K36me3","ForebrainEmbryo10.5days"
"11","ENCFF683NUM","forebrain","H3K9me3","ForebrainEmbryo10.5days"
"12","ENCFF339BXS","midbrain","H3K9me3","MidbrainEmbryo10.5days"
"13","ENCFF847WNU","hindbrain","H3K36me3","HindbrainEmbryo11.5days"
"14","ENCFF202LKB","forebrain","H3K36me3","ForebrainEmbryo14.5days"
"15","ENCFF350TRR","midbrain","H3K4me1","MidbrainEmbryo13.5days"
"16","ENCFF915VHI","forebrain","H3K27me3","ForebrainPostnatal0days"
"17","ENCFF062LZU","hindbrain","H3K4me1","HindbrainEmbryo11.5days"
"18","ENCFF831CKI","midbrain","H3K4me1","MidbrainEmbryo11.5days"
"19","ENCFF364JYX","hindbrain","H3K27me3","HindbrainEmbryo13.5days"
"20","ENCFF288GWI","forebrain","H3K4me1","ForebrainEmbryo15.5days"
"21","ENCFF148KOE","midbrain","H3K9me3","MidbrainEmbryo11.5days"
"22","ENCFF534OBS","forebrain","H3K9me3","ForebrainEmbryo14.5days"
"23","ENCFF649GJT","hindbrain","H3K36me3","HindbrainEmbryo10.5days"
"24","ENCFF321YPC","hindbrain","H3K9me3","HindbrainEmbryo10.5days"
"25","ENCFF574ROI","midbrain","H3K27me3","MidbrainEmbryo10.5days"
"26","ENCFF603EVL","hindbrain","H3K27me3","HindbrainEmbryo15.5days"
"27","ENCFF544GTM","midbrain","H3K9me3","MidbrainEmbryo15.5days"
"28","ENCFF460OVN","forebrain","H3K36me3","ForebrainPostnatal0days"
"29","ENCFF341MTI","hindbrain","H3K36me3","HindbrainEmbryo14.5days"
"30","ENCFF584ZTN","hindbrain","H3K27me3","HindbrainEmbryo14.5days"
"31","ENCFF625NET","forebrain","H3K4me1","ForebrainEmbryo10.5days"
"32","ENCFF889QDX","hindbrain","H3K27me3","HindbrainEmbryo10.5days"
"33","ENCFF476TXC","forebrain","H3K9me3","ForebrainEmbryo12.5days"
"34","ENCFF527OGX","forebrain","H3K9me3","ForebrainEmbryo13.5days"
"35","ENCFF888GMD","hindbrain","H3K9me3","HindbrainEmbryo12.5days"
"36","ENCFF125UNA","hindbrain","H3K36me3","HindbrainEmbryo16.5days"
"37","ENCFF168UEH","cerebellum","H3K4me1","CerebellumMaleAdult8Weeks"
"38","ENCFF827KON","midbrain","H3K4me1","MidbrainEmbryo16.5days"
"39","ENCFF425QBW","midbrain","H3K36me3","MidbrainEmbryo11.5days"
"40","ENCFF370LAC","forebrain","H3K4me1","ForebrainEmbryo16.5days"
"41","ENCFF580XCS","midbrain","H3K4me1","MidbrainEmbryo12.5days"
"42","ENCFF708YHC","hindbrain","H3K4me1","HindbrainEmbryo14.5days"
"43","ENCFF486OCA","midbrain","H3K36me3","MidbrainEmbryo13.5days"
"44","ENCFF172LKQ","forebrain","H3K4me1","ForebrainPostnatal0days"
"45","ENCFF565FGR","midbrain","H3K27me3","MidbrainEmbryo15.5days"
"46","ENCFF458POP","hindbrain","H3K27me3","HindbrainEmbryo16.5days"
