"","SampleID","Tissue","Target","BiosampleInfo"
"1","ENCFF831XNV","cerebellum","H3K4me3","CerebellumMaleAdult8Weeks"
"2","ENCFF169RNW","hindbrain","H3K4me3","HindbrainPostnatal0days"
"3","ENCFF414QQR","hindbrain","H3K27ac","HindbrainEmbryo13.5days"
"4","ENCFF887RGY","forebrain","H3K27ac","ForebrainEmbryo10.5days"
"5","ENCFF314HSG","cortical plate","H3K27ac","CorticalPlateMaleAdult8Weeks"
"6","ENCFF820PKM","olfactory bulb","H3K4me3","OlfactoryBulbMaleAdult8Weeks"
"7","ENCFF651FKI","olfactory bulb","H3K27ac","OlfactoryBulbMaleAdult8Weeks"
"8","ENCFF745RNP","midbrain","H3K4me2","MidbrainEmbryo16.5days"
"9","ENCFF595HMJ","midbrain","H3K4me3","MidbrainEmbryo16.5days"
"10","ENCFF079TEZ","midbrain","H3K4me3","MidbrainEmbryo10.5days"
"11","ENCFF374XMI","forebrain","H3K4me3","ForebrainEmbryo10.5days"
"12","ENCFF325NNT","midbrain","H3K27ac","MidbrainEmbryo10.5days"
"13","ENCFF510MLG","hindbrain","H3K27ac","HindbrainEmbryo10.5days"
"14","ENCFF026PRW","hindbrain","H3K4me3","HindbrainEmbryo10.5days"
"15","ENCFF088LWR","forebrain","H3K27ac","ForebrainEmbryo14.5days"
"16","ENCFF975GYU","forebrain","H3K4me3","ForebrainEmbryo16.5days"
"17","ENCFF825MTF","hindbrain","H3K27ac","HindbrainEmbryo15.5days"
"18","ENCFF922IWM","midbrain","H3K4me3","MidbrainEmbryo11.5days"
"19","ENCFF912UEK","cerebellum","H3K27ac","CerebellumMaleAdult8Weeks"
"20","ENCFF612WDA","midbrain","H3K9ac","MidbrainEmbryo16.5days"
"21","ENCFF680ZQE","forebrain","H3K4me2","ForebrainEmbryo16.5days"
"22","ENCFF958YGX","hindbrain","H3K27ac","HindbrainEmbryo14.5days"
"23","ENCFF595IXK","hindbrain","H3K4me2","HindbrainEmbryo15.5days"
"24","ENCFF022PPU","forebrain","H3K4me3","ForebrainPostnatal0days"
"25","ENCFF923XZA","forebrain","H3K4me2","ForebrainEmbryo12.5days"
"26","ENCFF953RPU","hindbrain","H3K4me3","HindbrainEmbryo13.5days"
"27","ENCFF009ZLI","hindbrain","H3K4me2","HindbrainPostnatal0days"
"28","ENCFF046NDM","hindbrain","H3K4me2","HindbrainEmbryo13.5days"
"29","ENCFF539UGT","midbrain","H3K9ac","MidbrainEmbryo12.5days"
"30","ENCFF538FRT","hindbrain","H3K9ac","HindbrainEmbryo12.5days"
"31","ENCFF847BEL","cortical plate","H3K4me3","CorticalPlateMaleAdult8Weeks"
"32","ENCFF129SDK","midbrain","H3K4me2","MidbrainPostnatal0days"
"33","ENCFF378EDX","forebrain","H3K4me3","ForebrainEmbryo12.5days"
"34","ENCFF085CZC","forebrain","H3K4me2","ForebrainEmbryo13.5days"
"35","ENCFF452IRL","midbrain","H3K9ac","MidbrainEmbryo15.5days"
"36","ENCFF290FXQ","midbrain","H3K9ac","MidbrainPostnatal0days"
"37","ENCFF187KCH","hindbrain","H3K4me2","HindbrainEmbryo14.5days"
"38","ENCFF338IHF","hindbrain","H3K9ac","HindbrainEmbryo13.5days"
"39","ENCFF218ZAM","hindbrain","H3K4me3","HindbrainEmbryo14.5days"
"40","ENCFF260BSX","forebrain","H3K4me3","ForebrainEmbryo14.5days"
"41","ENCFF473IWR","forebrain","H3K4me3","ForebrainEmbryo15.5days"
"42","ENCFF184WOD","forebrain","H3K4me2","ForebrainPostnatal0days"
"43","ENCFF651ZNC","hindbrain","H3K4me3","HindbrainEmbryo11.5days"
"44","ENCFF883VLI","hindbrain","H3K9ac","HindbrainEmbryo14.5days"
"45","ENCFF628UPW","midbrain","H3K27ac","MidbrainEmbryo16.5days"
"46","ENCFF970BWX","midbrain","H3K4me3","MidbrainPostnatal0days"
"47","ENCFF163FNT","hindbrain","H3K9ac","HindbrainEmbryo15.5days"
"48","ENCFF221ECI","forebrain","H3K27ac","ForebrainEmbryo16.5days"
"49","ENCFF571WKK","forebrain","H3K4me2","ForebrainEmbryo14.5days"
"50","ENCFF850AEZ","forebrain","H3K9ac","ForebrainEmbryo11.5days"
"51","ENCFF435DOY","hindbrain","H3K4me3","HindbrainEmbryo16.5days"
"52","ENCFF883ZKZ","hindbrain","H3K27ac","HindbrainEmbryo16.5days"
"53","ENCFF052CTX","midbrain","H3K27ac","MidbrainEmbryo13.5days"
"54","ENCFF364PCN","midbrain","H3K27ac","MidbrainPostnatal0days"
"55","ENCFF171IEJ","forebrain","H3K27ac","ForebrainEmbryo11.5days"
"56","ENCFF841DKZ","midbrain","H3K4me2","MidbrainEmbryo13.5days"
"57","ENCFF903ETK","hindbrain","H3K9ac","HindbrainEmbryo16.5days"
"58","ENCFF603JDB","forebrain","H3K9ac","ForebrainEmbryo16.5days"
"59","ENCFF228DDK","midbrain","H3K4me2","MidbrainEmbryo12.5days"
"60","ENCFF416LYH","midbrain","H3K4me2","MidbrainEmbryo14.5days"
"61","ENCFF486VPU","forebrain","H3K4me2","ForebrainEmbryo11.5days"
"62","ENCFF984UDQ","midbrain","H3K9ac","MidbrainEmbryo14.5days"
"63","ENCFF911CTR","midbrain","H3K4me3","MidbrainEmbryo14.5days"
"64","ENCFF981SLM","hindbrain","H3K9ac","HindbrainEmbryo11.5days"
"65","ENCFF806JBM","hindbrain","H3K4me3","HindbrainEmbryo15.5days"
"66","ENCFF653ZYQ","midbrain","H3K27ac","MidbrainEmbryo11.5days"
"67","ENCFF588VWJ","forebrain","H3K27ac","ForebrainEmbryo13.5days"
"68","ENCFF857PUK","hindbrain","H3K9ac","HindbrainPostnatal0days"
