"","File accession","File format","Output type","Experiment accession","Assay","Biosample term id","Biosample term name","Biosample type","Biosample organism","Biosample treatments","Biosample treatments amount","Biosample treatments duration","Experiment target","Library made from","Library depleted in","Library extraction method","Library lysis method","Library crosslinking method","Library strand specific","Experiment date released","Project","RBNS protein concentration","Library fragmentation method","Library size range","Biological replicate(s)","Technical replicate","Read length","Mapped read length","Run type","Paired end","Paired with","Derived from","Size","Lab","md5sum","dbxrefs","File download URL","Assembly","Platform","Controlled by","File Status","Restricted","Audit WARNING","Audit INTERNAL_ACTION","Audit NOT_COMPLIANT","Audit ERROR"
"7","ENCFF329DSO","bigBed narrowPeak","peaks","ENCSR000COG","DNase-seq","UBERON:0000955","brain","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"see document","see document",NA,"False","2012-09-15","ENCODE",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"ENCFF026MOH, ENCFF514BPU",850930,"ENCODE Processing Pipeline","80a3015f9667e1ce1b22f8fc655bc88e",NA,"https://www.encodeproject.org/files/ENCFF329DSO/@@download/ENCFF329DSO.bigBed","mm10",NA,NA,"released",NA,"low read depth, low spot score","","",NA
"8","ENCFF757HED","bigBed broadPeak","hotspots","ENCSR000COG","DNase-seq","UBERON:0000955","brain","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"see document","see document",NA,"False","2012-09-15","ENCODE",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"ENCFF026MOH, ENCFF514BPU",1462619,"ENCODE Processing Pipeline","f8113dcf51e72cd9ec87c319f874fe9c",NA,"https://www.encodeproject.org/files/ENCFF757HED/@@download/ENCFF757HED.bigBed","mm10",NA,NA,"released",NA,"low read depth, low spot score","","",NA
"9","ENCFF914CWU","bigBed narrowPeak","peaks","ENCSR000COG","DNase-seq","UBERON:0000955","brain","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"see document","see document",NA,"False","2012-09-15","ENCODE",NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"ENCFF026MOH, ENCFF103YLF",854341,"ENCODE Processing Pipeline","11550522434b4c6712ab5443e9c3ed69",NA,"https://www.encodeproject.org/files/ENCFF914CWU/@@download/ENCFF914CWU.bigBed","mm10",NA,NA,"released",NA,"low read depth, low spot score","","",NA
"10","ENCFF147UDT","bigBed broadPeak","hotspots","ENCSR000COG","DNase-seq","UBERON:0000955","brain","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"see document","see document",NA,"False","2012-09-15","ENCODE",NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"ENCFF026MOH, ENCFF103YLF",1543016,"ENCODE Processing Pipeline","bfbbc3cc836692ce0084d95b9b34972e",NA,"https://www.encodeproject.org/files/ENCFF147UDT/@@download/ENCFF147UDT.bigBed","mm10",NA,NA,"released",NA,"low read depth, low spot score","","",NA
"15","ENCFF333MPS","bigWig","read-depth normalized signal","ENCSR000COG","DNase-seq","UBERON:0000955","brain","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"see document","see document",NA,"False","2012-09-15","ENCODE",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"ENCFF514BPU",505584948,"ENCODE Processing Pipeline","ab37945b76c751e5a5d1ff229a89c5c2",NA,"https://www.encodeproject.org/files/ENCFF333MPS/@@download/ENCFF333MPS.bigWig","mm10",NA,NA,"released",NA,"low read depth, low spot score","","",NA
"16","ENCFF948MWB","bigWig","read-depth normalized signal","ENCSR000COG","DNase-seq","UBERON:0000955","brain","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"see document","see document",NA,"False","2012-09-15","ENCODE",NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"ENCFF103YLF",513624384,"ENCODE Processing Pipeline","075dc95adbd05a46e9905581244c1c02",NA,"https://www.encodeproject.org/files/ENCFF948MWB/@@download/ENCFF948MWB.bigWig","mm10",NA,NA,"released",NA,"low read depth, low spot score","","",NA
"21","ENCFF899STX","bigBed narrowPeak","peaks","ENCSR289BTM","DNase-seq","UBERON:0002028","hindbrain","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"","",NA,"False","2017-09-26","ENCODE",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"ENCFF016JFD, ENCFF026MOH",1928087,"ENCODE Processing Pipeline","1d311576ddf773ec4d4bd0d7fb2c93e8",NA,"https://www.encodeproject.org/files/ENCFF899STX/@@download/ENCFF899STX.bigBed","mm10",NA,NA,"released",NA,"low spot score","experiment not submitted to GEO","",NA
"22","ENCFF893AMT","bigBed broadPeak","hotspots","ENCSR289BTM","DNase-seq","UBERON:0002028","hindbrain","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"","",NA,"False","2017-09-26","ENCODE",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"ENCFF016JFD, ENCFF026MOH",2656727,"ENCODE Processing Pipeline","ff81bbb1cce9d66033cc907a2948804a",NA,"https://www.encodeproject.org/files/ENCFF893AMT/@@download/ENCFF893AMT.bigBed","mm10",NA,NA,"released",NA,"low spot score","experiment not submitted to GEO","",NA
"23","ENCFF525BNZ","bigBed narrowPeak","peaks","ENCSR289BTM","DNase-seq","UBERON:0002028","hindbrain","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"","",NA,"False","2017-09-26","ENCODE",NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"ENCFF026MOH, ENCFF106HYD",2077390,"ENCODE Processing Pipeline","177800ffac4ed62bc5036fc6ce7232f0",NA,"https://www.encodeproject.org/files/ENCFF525BNZ/@@download/ENCFF525BNZ.bigBed","mm10",NA,NA,"released",NA,"low spot score","experiment not submitted to GEO","",NA
"24","ENCFF165WBF","bigBed broadPeak","hotspots","ENCSR289BTM","DNase-seq","UBERON:0002028","hindbrain","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"","",NA,"False","2017-09-26","ENCODE",NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"ENCFF026MOH, ENCFF106HYD",2968237,"ENCODE Processing Pipeline","79fa9056599e19dcb99092e153479dd4",NA,"https://www.encodeproject.org/files/ENCFF165WBF/@@download/ENCFF165WBF.bigBed","mm10",NA,NA,"released",NA,"low spot score","experiment not submitted to GEO","",NA
"25","ENCFF172WCQ","bigWig","read-depth normalized signal","ENCSR289BTM","DNase-seq","UBERON:0002028","hindbrain","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"","",NA,"False","2017-09-26","ENCODE",NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"ENCFF106HYD",644631345,"ENCODE Processing Pipeline","42e9b01f48f945afbd41b8dce3dd88c4",NA,"https://www.encodeproject.org/files/ENCFF172WCQ/@@download/ENCFF172WCQ.bigWig","mm10",NA,NA,"released",NA,"low spot score","experiment not submitted to GEO","",NA
"26","ENCFF888LAZ","bigWig","read-depth normalized signal","ENCSR289BTM","DNase-seq","UBERON:0002028","hindbrain","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"","",NA,"False","2017-09-26","ENCODE",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"ENCFF016JFD",678679591,"ENCODE Processing Pipeline","c2a881afdcf19ef6608abef8bd1ded90",NA,"https://www.encodeproject.org/files/ENCFF888LAZ/@@download/ENCFF888LAZ.bigWig","mm10",NA,NA,"released",NA,"low spot score","experiment not submitted to GEO","",NA
"33","ENCFF202ENC","bigBed narrowPeak","peaks","ENCSR179PIH","DNase-seq","UBERON:0002028","hindbrain","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"","",NA,"False","2015-09-14","ENCODE",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"ENCFF026MOH, ENCFF196CWA",3359868,"ENCODE Processing Pipeline","8db5c178c7770b44e73e9cf4e889e803",NA,"https://www.encodeproject.org/files/ENCFF202ENC/@@download/ENCFF202ENC.bigBed","mm10",NA,NA,"released",NA,"low spot score","","",NA
"34","ENCFF256YAT","bigBed broadPeak","hotspots","ENCSR179PIH","DNase-seq","UBERON:0002028","hindbrain","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"","",NA,"False","2015-09-14","ENCODE",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"ENCFF026MOH, ENCFF196CWA",5235263,"ENCODE Processing Pipeline","bc5a9281e03e79b2157a2a2034d41ab4",NA,"https://www.encodeproject.org/files/ENCFF256YAT/@@download/ENCFF256YAT.bigBed","mm10",NA,NA,"released",NA,"low spot score","","",NA
