"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0035255","ionotropic glutamate receptor binding","2/19","32/17200",0.000562201868936513,0.0191148635438414,0.0100604544967586,"LRRC7/SHISA6",2
"GO:0003828","alpha-N-acetylneuraminate alpha-2,8-sialyltransferase activity","1/19","6/17200",0.00661058835402506,0.0798946363732661,0.0420498086175085,"ST8SIA1",1
"GO:0031720","haptoglobin binding","1/19","10/17200",0.010994624151774,0.0798946363732661,0.0420498086175085,"HBM",1
"GO:0043177","organic acid binding","1/19","11/17200",0.0120877656375861,0.0798946363732661,0.0420498086175085,"HBM",1
"GO:0005227","calcium activated cation channel activity","1/19","14/17200",0.0153603263185806,0.0798946363732661,0.0420498086175085,"ANO10",1
"GO:0005344","oxygen transporter activity","1/19","14/17200",0.0153603263185806,0.0798946363732661,0.0420498086175085,"HBM",1
"GO:0008373","sialyltransferase activity","1/19","15/17200",0.0164488957239077,0.0798946363732661,0.0420498086175085,"ST8SIA1",1
"GO:0005229","intracellular calcium activated chloride channel activity","1/19","18/17200",0.0197077672814033,0.0812583241413661,0.0427675390217716,"ANO10",1
"GO:0008143","poly(A) binding","1/19","24/17200",0.0261948467395027,0.0812583241413661,0.0427675390217716,"KHDRBS2",1
"GO:0004601","peroxidase activity","1/19","28/17200",0.0304969497949757,0.0812583241413661,0.0427675390217716,"HBM",1
"GO:0008266","poly(U) RNA binding","1/19","30/17200",0.0326412431808559,0.0812583241413661,0.0427675390217716,"KHDRBS2",1
"GO:0015276","ligand-gated ion channel activity","1/19","32/17200",0.034781043025806,0.0812583241413661,0.0427675390217716,"NCALD",1
"GO:0019825","oxygen binding","1/19","33/17200",0.0358492606506027,0.0812583241413661,0.0427675390217716,"HBM",1
"GO:0042169","SH2 domain binding","1/19","33/17200",0.0358492606506027,0.0812583241413661,0.0427675390217716,"KHDRBS2",1
"GO:0043014","alpha-tubulin binding","1/19","33/17200",0.0358492606506027,0.0812583241413661,0.0427675390217716,"NCALD",1
"GO:0030276","clathrin binding","1/19","39/17200",0.0422350841127949,0.0897495537396891,0.0472366072314153,"NCALD",1
"GO:0050681","androgen receptor binding","1/19","44/17200",0.0475259746680111,0.0950519493360222,0.0500273417558012,"FOXP1",1
"GO:0015631","tubulin binding","1/19","50/17200",0.0538384944210507,0.101694933906429,0.0535236494244364,"NCALD",1
"GO:0043621","protein self-association","1/19","55/17200",0.0590686307709005,0.105701760326875,0.0556325054351972,"FOXP1",1
"GO:0005215","transporter activity","1/19","71/17200",0.0756216251633927,0.112931788938886,0.0594377836520451,"MFSD14B",1
"GO:0043565","sequence-specific DNA binding","2/19","416/17200",0.0761402457068788,0.112931788938886,0.0594377836520451,"FOXP1/ZBTB18",2
"GO:0001618","virus receptor activity","1/19","74/17200",0.0786944381502183,0.112931788938886,0.0594377836520451,"CR1",1
"GO:0004386","helicase activity","1/19","74/17200",0.0786944381502183,0.112931788938886,0.0594377836520451,"DDX19B",1
"GO:0008092","cytoskeletal protein binding","1/19","75/17200",0.0797165568980369,0.112931788938886,0.0594377836520451,"CDH8",1
"GO:0030165","PDZ domain binding","1/19","85/17200",0.0898788311221976,0.122235210326189,0.0643343212243099,"SHISA6",1
"GO:0003697","single-stranded DNA binding","1/19","93/17200",0.0979320112180337,0.12806493774666,0.0674025988140313,"RTF1",1
"GO:0017124","SH3 domain binding","1/19","125/17200",0.129474670135148,0.161916758854197,0.085219346765367,"KHDRBS2",1
"GO:0020037","heme binding","1/19","129/17200",0.133343213174045,0.161916758854197,0.085219346765367,"HBM",1
"GO:0008083","growth factor activity","1/19","164/17200",0.166505169910611,0.195212957826233,0.102743662013807,"BDNF",1
"GO:0003779","actin binding","1/19","254/17200",0.246346736140628,0.279192967626045,0.146943667171603,"NCALD",1
"GO:0003713","transcription coactivator activity","1/19","275/17200",0.263904482265336,0.286524843535328,0.15080254922912,"ZBTB18",1
"GO:0004842","ubiquitin-protein transferase activity","1/19","282/17200",0.269670440974427,0.286524843535328,0.15080254922912,"FBXL20",1
"GO:0045296","cadherin binding","1/19","301/17200",0.285105985848816,0.293745561177568,0.154602926935562,"CDH8",1
"GO:0046982","protein heterodimerization activity","1/19","500/17200",0.429253714011881,0.429253714011881,0.225923007374674,"KHDRBS2",1
