"","scCLTdegenNuc628","scCLTdegenNuc629","scCLTdegenNuc630","scCLTdegenNuc641","scCLTdegenNuc642","scCLTdegenNuc643","scCLTdegenNuc639","scCLTdegenNuc640"
"AC133680.1",0,1,1,0,0,0,0,0
"ADCY2",0,0,0,0,3.90689059560852,1,1,0
"BRINP3",0,1.58496250072116,1,0,0,0,0,0
"CCDC148",1,0,2,0,0,0,0,0
"CHD7",1.58496250072116,1,2,0,0,0,0,0
"CTC-525D6.1",1,0,1,0,0,0,0,0
"CTD-3076M17.1",1,0,1,0,0,0,0,0
"DBET",1,0,1,0,0,0,0,0
"DDX11L5",1.58496250072116,1.58496250072116,2.58496250072116,0,0,0,0,0
"DLG2",0,1,1.58496250072116,0,0,0,0,0
"DOCK4",1,0,1,0,0,0,0,0
"DUX4L30",1,0,1,0,0,0,0,0
"DUX4L8",0.415037499278844,0,0.415037499278844,0,0,0,0,0
"FAM222B",1,0,1,0,0,0,0,0
"HEY1",0,1.58496250072116,1,0,0,0,0,0
"HRAT92",2.8073549220576,1,1.58496250072116,0,0,0,0,0
"IGF1R",1.58496250072116,1,0,0,0,0,0,0
"KCNH8",0,1,1,0,0,0,0,0
"KCNK13",2,1.58496250072116,0,0,0,0,0,0
"KREMEN1",0,1,1,0,0,0,0,0
"LINC00393",1,0,1,0,0,0,0,0
"LINC01481",0.584962500721156,0,1.32192809488736,0,0,0,0,0
"LINC01607",0,1.58496250072116,1,0,0,0,0,0
"LRRC45",1,0,2.32192809488736,0,0,0,0,0
"LSR",0,1,1.58496250072116,0,0,0,0,0
"MAFG",0,1.58496250072116,1,0,0,0,0,0
"MCTS1",1,0,2,0,0,0,0,0
"MEGF8",1.58496250072116,0,2.58496250072116,0,0,0,0,0
"MMP17",1.58496250072116,1.58496250072116,0,0,0,0,0,0
"NDUFAF1",0,0,0,1,1,1,0,0
"PDGFA",2.8073549220576,1,1.58496250072116,0,0,0,0,0
"PFDN1",1,0,1,0,0,0,0,0
"PFKFB3",0,1.58496250072116,1.58496250072116,0,0,0,0,0
"POLR2J3",2,1.58496250072116,2,0,0,0,0,0
"RAC3",1,0,2.32192809488736,0,0,0,0,0
"RASA4",2,1.58496250072116,2,0,0,0,0,0
"RBFOX1",0,0,0,0,3.16992500144231,0,1,1
"RNF6P1",1,0,1,0,0,0,0,0
"RP11-380P13.1",1,0,1,0,0,0,0,0
"RP11-414H17.5",0,1.58496250072116,1.58496250072116,0,0,0,0,0
"RP11-422J15.1",0,1.58496250072116,2,0,0,0,0,0
"RP11-498C9.12",0,1.58496250072116,1,0,0,0,0,0
"RP11-514P8.7",2,1.58496250072116,2,0,0,0,0,0
"RP11-67H24.2",0,1,1,0,0,0,0,0
"RP11-6N13.1",1,0,1.58496250072116,0,0,0,0,0
"RP11-98J9.1",1,0,1,0,0,0,0,0
"RTN1",1,1,0,0,0,0,0,0
"SGCD",0,1,0.584962500721156,0,0,0,0,0
"SH2D1A",0,0.584962500721156,0.584962500721156,0,0,0,0,0
"SIRT7",0,1.58496250072116,1,0,0,0,0,0
"SLC6A1",0,3.16992500144231,1,0,0,0,0,0
"SLC6A1-AS1",0,3.16992500144231,1,0,0,0,0,0
"SLC8A1-AS1",1.58496250072116,0,1,0,0,0,0,0
"SLIT3",2,1,0,0,0,0,0,0
"STAG2",0,1,0.584962500721156,0,0,0,0,0
"SYPL1",1.58496250072116,0,1.58496250072116,0,0,0,0,0
"TBCK",1,0,1.58496250072116,0,0,0,0,0
"TEX13D",0,1,1,0,0,0,0,0
"TIAM2",0,0,0,0,1,0,1.58496250072116,1
"TNRC6C",1.58496250072116,1.58496250072116,0,0,0,0,0,0
"TRIO",1.58496250072116,0,1,0,0,0,0,0
"TRNP1",0,1.58496250072116,1.58496250072116,0,0,0,0,0
"UBE2D2",1,0,1,0,0,0,0,0
"USF2",0,1,1.58496250072116,0,0,0,0,0
"YES1",0,1,1,0,0,0,0,0
"ZFAT",0,0,0,2.58496250072116,0,0,1,1.58496250072116
"ZNF536",0,0,0,1,2,1,0,0
