"","FlankUp5kByGene","FlankDn5kByGene","ExonByGene","IntronByGene"
"scCLTdegenNuc333",1.75805583326925,1.74323181049069,1.69246717346234,1.065434320301
"scCLTdegenNuc334",1.23068116771608,1.36487907465825,1.0531561461794,1.13573232323232
"scCLTdegenNuc335",1.37942664418212,1.39320388349515,0.805785123966942,0.934351145038168
"scCLTdegenNuc336",1.18355184743743,1.32968236582694,0.895910780669145,1.01936936936937
"scCLTdegenNuc404",1.875,1.54022988505747,NA,0.933823529411765
"scCLTdegenNuc406",NA,NA,NA,0.913793103448276
"scCLTdegenNuc408",NA,NA,NA,1.21276595744681
"scCLTdegenNuc409",1.09075630252101,1.37547892720307,1.09230769230769,1.225782414307
"scCLTdegenNuc410",1.46762589928058,1.40116279069767,NA,1.10826210826211
"scCLTdegenNuc411",2.03076923076923,1.61538461538462,NA,1.01190476190476
"scCLTdegenNuc337",1.45757575757576,1.41618497109827,1.02469135802469,1.09180651530109
"scCLTdegenNuc338",1.13425925925926,1.25365853658537,NA,1.1317494600432
"scCLTdegenNuc339",0.969214437367304,0.96794208893485,0.8,1.02819107282694
"scCLTdegenNuc340",1.62173038229376,1.75291828793774,1.62962962962963,1.04892703862661
"scCLTdegenNuc341",0.7117903930131,0.928020565552699,0.89041095890411,1.17439293598234
"scCLTdegenNuc342",1.50510204081633,1.76551724137931,NA,1.27839643652561
"scCLTdegenNuc343",0.899109792284866,1.10543130990415,0.686746987951807,0.915693904020752
"scCLTdegenNuc345",0.826330532212885,1.43220338983051,NA,1.19413919413919
"scCLTdegenNuc428",1.1963906581741,1.08233173076923,1.00355871886121,1.26710162119415
"scCLTdegenNuc387",2.53237410071942,2.97222222222222,1.73529411764706,0.770137524557957
"scCLTdegenNuc388",2.68367346938776,2.47826086956522,NA,1.02846975088968
"scCLTdegenNuc390",NA,NA,NA,0.857142857142857
"scCLTdegenNuc391",1.92857142857143,2.34920634920635,1.29761904761905,0.804276315789474
"scCLTdegenNuc392",1.59310344827586,1.74342105263158,1.22727272727273,0.88631090487239
"scCLTdegenNuc393",1.53424657534247,1.56521739130435,1.03658536585366,0.876344086021505
"scCLTdegenNuc413",2.61006944444444,2.22668321439652,1.17865707434053,0.733008799850215
"scCLTdegenNuc415",3.91861018562589,3.39872915011914,2.0156087408949,0.814233498172436
"scCLTdegenNuc394",1.32978723404255,1.48192771084337,NA,1.04232804232804
"scCLTdegenNuc395",2.15151515151515,1.92307692307692,NA,0.93719806763285
"scCLTdegenNuc397",1.19877675840979,1.06134969325153,0.762886597938144,1.14023210831721
"scCLTdegenNuc398",2.52884615384615,2.36885245901639,NA,0.68141592920354
"scCLTdegenNuc399",1.74137931034483,1.13432835820896,NA,0.989690721649485
"scCLTdegenNuc400",2.63768115942029,2.57746478873239,NA,0.860082304526749
"scCLTdegenNuc401",0.847457627118644,0.865853658536585,NA,0.893617021276596
"scCLTdegenNuc414",2.82044581091468,2.8424233490566,1.62335285505124,0.759065307452404
"scCLTdegenNuc323",1.10650887573965,1.23611111111111,NA,1.02142857142857
